mode;bin_idx;lower_m;upper_m;share
walk;0;0;500;0.692207
walk;1;500;1000;0.365748
walk;2;1000;2000;0.203848
walk;3;2000;5000;0.090866
walk;4;5000;10000;0.032943
walk;5;10000;20000;0.012493
walk;6;20000;50000;0.006208
bicycle;0;0;500;0.090716
bicycle;1;500;1000;0.142981
bicycle;2;1000;2000;0.117496
bicycle;3;2000;5000;0.080152
bicycle;4;5000;10000;0.043173
bicycle;5;10000;20000;0.020465
bicycle;6;20000;50000;0.015255
car_passenger;0;0;500;0.045897
car_passenger;1;500;1000;0.110233
car_passenger;2;1000;2000;0.150181
car_passenger;3;2000;5000;0.185384
car_passenger;4;5000;10000;0.185666
car_passenger;5;10000;20000;0.186374
car_passenger;6;20000;50000;0.185233
car;0;0;500;0.161429
car;1;500;1000;0.363476
car;2;1000;2000;0.488596
car;3;2000;5000;0.562373
car;4;5000;10000;0.633814
car;5;10000;20000;0.688287
car;6;20000;50000;0.694931
pt;0;0;500;0.009750
pt;1;500;1000;0.017563
pt;2;1000;2000;0.039879
pt;3;2000;5000;0.081224
pt;4;5000;10000;0.104404
pt;5;10000;20000;0.092381
pt;6;20000;50000;0.098374
